rank,date_posted,definition,usage_example,up_votes,down_votes,posted_by,,
1,2017-10-30,Emma Watson,"Oh hey, look it's the feminist queen Emma Watson",57,31,WHISKer doodle,,
2,2016-04-07,"Either a male cuckold or a female supremacist that hides behind social dogmatism to justify her privileged social status. Sufferers of feminism experience delusional and conspiratorial thought patterns. Typically, diagnosed individuals claim to be under constant attack of an enemy known to them as the ""Patriarchy."" Most sufferers are unfuckable females that cannot cope with the social rejection of their male counterparts. Furthermore, they often develop a deep-seeded hatred or resentment towards women of a higher social status (Better looking than them). While everything is currently being done to help those that contract the virus, unfortunately, little to nothing can be done to help those that suffer from stage (wave) three feminism. However, if caught early (wave 1 or 2), the patient can be treated with a gradual dose of G.D. (Good Dick). If you or a loved one has contracted the F. virus, please contact your local bitch control center and ask to be tested. Remember, the F. virus affects both men and women. In prolonged, untreated stages, men can gradually grow what is known as a mangina and thus develop cuckoldry (See Tumblr for details). And for women, the F. virus can result in a permanent drying of the vagina and consequently cause the clitoris to expand into a large cyst which signifies the final stages of the F. virus. The female suffer will gradually transform into an untranslatable, repulsive ogre that demands that you check your privilege.","Don't be such a feminist...use logical and reasonable arguments when trying to prove your point. Honey, he's a feminist. Of course he's a cuckold. Just go with it. You might like it. Remember, he actually likes watching you fuck other guys while he's in the corner crying. He literally gets off at it!",72,49,Skiller Ipseity,,
3,2017-09-21,"A feminist is a person who fights for women to have equal (or these days more) rights then men. Feminists do not fight for women and men to have equal rights, only for women to have the same rights as men or more. A person who wants equal rights for both genders is a equalist.","Tiffany: I think women don't have the same rights as men, so I'm a feminist Tom: I think both genders have more and less rights then the others, so I am a equalist Tiffany: Fuck you, white male scum. Tom: Fuck you too Tiffany, fuck you too.",23,15,le king of words,,
4,2018-06-21,"The people that complain when there is no female antagonist in a series, but claim it's sexist when there is.",That feminist is fucking insane,76,62,Chesssx,,
5,2005-02-08,someone who believes the radical notion that women are people.,"if you believe that women and men should have equal rights, you are a feminist. there's nothing ""extreme"" about it.",57829,58920,laurie k,,
6,2009-12-27,"A feminist is a person, most likely a female herself, who fights for equality as women are seen as the weaker sex. A feminist is not a man-hater, which is what some people insist they are, though they are very 'pro-girl.' Feminism has been alive right through history, as females fought for their right to vote, work and receive equal pay. The world today would be very different if feminists never took action to change laws and empower themselves.",Kate Sheppard and Kathleen Hanna were both feminists.,41632,42408,grrrlgerms,,
7,2010-01-20,A straight male who doesnt express enthusasium towards chauvinistic remarks,"Your buddy is such a FEMINIST , he doesnt show any interest when we go on with chauvinist jokes .",39988,40852,Hef,,
8,2009-06-29,"A feminist is a person who believes that men and women are equal (though not necessarily the same), and should be entitled to equal rights, equal treatment, and equal opportunity.","The attainment of women's rights to vote, own property, and become leaders in business and politics are feminist victories.",44014,45916,R L F,,
9,2017-04-10,Someone who believes women should be treated at a higher standard then men. Despite what people think a feminist does not believe in level playing ground because if she did she wouldn't be a feminist she would be an egalitarian by definition and if you think that without the label you are a reasonable person,Person one: woman should be treated equal but women need special treatment. Person two: you're a feminist cunt,36,26,The hard truth 101,,
10,2009-08-10,"A person who supports equality between the sexes. Feminists can be (and are) women, men, and transpeople. Feminists are black, white, and everything in between. Feminists are straight, gay, and bisexual. Feminists understand that inequality effects everyone. Feminists ARE NOT Nazis, or women who can't get laid. The very existence of these views is proof that feminism still has a lot of work to do. Some feminists shave, and some don't. Some are ""fashionable"", some aren't. Just like any other group of people. Not all feminists are lesbians, though lesbians can be feminists. The ongoing Civil Rights movement and the push for gay marriage are often associated with feminism as each cause expresses a very sane desire to create world recognition of our intrinsic equality.","John: Lisa's a feminist? You mean a bitch, right? Max: She just believes in equal rights, man. I'm a feminist, too.",43158,46191,Katyakahlo,,
11,2010-01-17,"A person who is feared and hence defamed and discredited by jocks, frat boys and men of inferior intelligence and/or sexual prowess.","Bob the III: Dude, did you see this chick at our frat party? Smokin hot, riiight? Jim the IV: Yeah man, but she's a feminist... so let's be really, really clever and tell everyone that she's a dyke that never shaves!",39795,44253,The Happy Humanist,,
12,2009-10-06,"Anyone who can read between the lines of misogyny. And then, with grace and intelligence, acts appropriately to fight against it.","Man, have you checked out the myspace page of A Panterinha? She is fighting misogyny one blog at a time! Now she is what a feminist should look like.",40359,44986,Leah Topplers,,
13,2008-02-02,"someone who believes in equal rights for men and women, i'm a girl and i have a feeling this'll never happen. if men and women were equal, guys would have permission to hit me right in the face and who wants that? note: feminists and femiNAZIS are very different, just so you know.","example of feminist: myself, sort of; example of feminazi: warped minded, bra burning, hairy monster woman who screams at the smallest thing. see, Rosie O'Donnell.",687,717,girl369x,,
14,2019-05-27,A woman who thinks they do nothing wrong and men do everything wrong,Fuck feminists,34,27,Randomking8,,
15,2019-12-18,"Someone who believes that both women and men should be treated equally and given equal opportunities, advocating for the rights of all genders. Note: misandrists are often misidentified as feminists","As a feminist I believe both men and women should be treated equally *men are more likely to receive the death penalty and harsher sentences than women* ""As a feminist I must advocate for the abolition of this gender bias""",39,32,Conan.g,,
16,2018-10-14,"Someone who believes that women should have equality with men in political, economic, and social situations.","Billy and Jane both work at the same place, for the same amount of time, with the same amount of work. However, Billy gets paid more than Jane. Jane is a feminist because she wants to get paid the same amount as Billy because they are doing the same thing.",95,89,JesusisLord27,,
17,2005-04-06,"A hypocritical woman who doesn't want men to have any rights whatsoever. Feminists do not want to shave their pits or wear bras to prove some point. Now, feminists do not want men checking their tits out, but now wearing a bra is just going to get more attention to that area. Most feminists do not want to be called ""offensive"" terms such as ""babe"" or ""chick"", when men often get called ""Dude"", ""Buddy"" and ""Hunk"" BY women. That is hypocritical. No one likes a hypocrite. Women deserve equal pay and all, but they don't have to hate all men just because they can't do their job as good as a man (in some cases). I think all feminist extremists should suck it up, shave their pits, eat shit and die.",Feminists are hypocrites and facists.,1196,1327,Inzane,,
18,2018-06-21,A wild and rare specie that mostly appears in the middle of nowhere and RKOs you with different examples on how unfair is to be a wamen.,"G1 ""All wamen are queens."" G2 ""if she STREAMS she is a THOOT"" F1 ""As A FeMiNiST I DOn'T AgGree WiTh YOu SeNtImEnt there""",14,9,EyeSwall0wCmen,,
19,2019-04-30,An annoying piece of crap that will eat any man's soul just to say they are right and men are wrong.,"Bob: that girl is really annoying, saying stupid things about rights and how men are wrong. Bill: she's probably a feminist.",22,17,ThatOneGuyk,,
